01,"Ария Чародея",0:01:12,0:04:31
02,"Зов бездны",0:05:26,0:07:26
03,"Ссора братьев",0:07:54,0:09:29
04,"Молитва",0:10:17,0:11:51
05,"Встреча у Летописца",0:11:54,0:17:32
06,"Игра с огнем",0:17:34,0:20:41
07,"Кабак - Возвращенное письмо - Роща Мертвых",0:21:46,0:30:59
08,"Я дам тебе имя",0:33:33,0:35:23
09,"Конклав Магов - Ария Даламара",0:35:27,0:41:10
10,"Ария Короля-Жреца",0:41:16,0:44:16
11,"Восторг",0:45:05,0:46:39
12,"Прокурор",0:46:39,0:48:45
13,"Все во имя веры",0:48:49,0:51:15
14,"Обличение Короля-Жреца",0:51:16,0:54:00
15,"О братстве",0:55:05,0:56:48
16,"Гладиатор",0:58:00,1:00:07
17,"Месса",1:02:48,1:05:01
18,"Плач об Истаре",1:05:08,1:06:37
19,"Примирение братьев",1:08:14,1:10:07
20,"Армия Чародея",1:10:08,1:12:53
21,"Детство Чародея",1:13:00,1:19:05
22,"Победа",1:19:10,1:21:12
23,"Соблазнение",1:21:18,1:25:06
24,"О любви",1:25:17,1:30:38
25,"Колыбельная",1:31:20,1:34:34
26,"Присяга",1:34:36,1:37:10
27,"Испытание огнем",1:37:15,1:40:49
28,"Встреча с Такхизис",1:41:16,1:46:10
29,"Изида под покрывалом",1:46:15,1:49:34
30,"Кошмары",1:49:34,1:52:30
31,"Танго со смертью",1:52:37,1:55:09
32,"Жертва",1:55:29,1:58:33
33,"Отречение",1:59:29,2:02:41
34,"Прозрение",2:03:25,2:05:33
35,"Властелин Ничего",2:06:03,2:11:44
36,"Легенда о Вратах",2:12:00,2:15:02
