1,Ария Чародея,4:32
2,Зов бездны,2:17
3,Ссора братьев,2:06
4,Молитва,2:12
5,Встреча у Летописца,6:25
6,Игра с огнем,3:49
7,Возвращенное письмо,2:14
8,Конклав Магов,5:04
9,Я дам тебе имя,1:53
10,Ария Короля-Жреца,3:32
11,Восторг,1:23
12,Прокурор,2:09
13,Все во имя веры,2:40
14,Обличение Короля-Жреца,4:29
15,О братстве,2:02
16,Гладиатор,2:01
17,Арена,2:41
18,Месса,2:20
19,Плач об Истаре,1:57
20,Легенда о Вратах,3:08
21,Примирение братьев,1:54
22,Армия Чародея,3:24
23,Победа,3:29
24,Соблазнение,4:10
25,О любви,5:35
26,Колыбельная,3:13
27,Присяга,2:36
28,Испытание огнем,3:59
29,Встреча с Такхизис,5:39
30,Изида под покрывалом,3:18
31,Кошмары,2:55
32,Танго со смертью,2:33
33,Жертва,4:17
34,Отречение,3:13
35,Прозрение,3:26
36,Властелин Ничего,6:18
