1,Ария Чародея,0:01:00,0:04:29
2,Сон чародея,0:05:27,0:07:25
3,Ссора братьев,0:07:27,0:09:28
4,Молитва,0:10:17,0:11:51
5,Встреча у летописца,0:11:54,0:17:33
6,Игра с огнём,0:17:34,0:20:41
7,Кабак,0:21:46,0:30:59
8,Я дам тебе имя,0:31:07,0:35:23
9,Конклав магов,0:35:28,0:40:05
10,Ария Даламара,0:40:10,0:41:09
11,Ария короля-жреца,0:41:13,0:44:16
12,Восторг,0:45:05,0:46:38
13,Прокурор,0:46:39,0:48:49
14,Всё во имя Веры,0:48:50,0:51:15
15,Спор Крисании с королём-жрецом,0:51:17,0:54:05
16,О братстве,0:54:06,0:56:48
17,Гладиатор,0:58:01,1:00:07
18,Арена,1:00:38,1:02:21
19,Месса,1:02:46,1:05:01
20,Плач об Истаре,1:05:08,1:06:37
21,Примирение братьев,1:08:14,1:10:07
22,Армия чародея,1:10:08,1:12:53
23,Детство чародея,1:13:01,1:19:10
24,Победа,1:19:11,1:21:13
25,Соблазнение,1:21:19,1:25:06
26,О любви,1:25:19,1:31:20
27,Колыбельная,1:31:21,1:34:33
28,Присяга,1:34:36,1:37:09
29,Испытание огнём,1:37:15,1:40:48
30,Встреча с Такхизис,1:40:52,1:46:10
31,Изида под покрывалом,1:46:15,1:49:33
32,Кошмары,1:49:35,1:52:27
33,Танго со смертью,1:52:30,1:55:08
34,Жертва,1:55:12,1:58:32
35,Отречение,1:59:05,2:02:40
36,Бессмысленно как всякая жестокость,2:02:45,2:05:33
37,Властелин ничего,2:05:48,2:11:44
38,Легенда бездны,2:12:00,2:15:02
